image_name,tags
train_256,agriculture
train_257,cloudy
train_258,clear
train_259,partly_cloudy
train_260,clear
train_261,agriculture
train_262,clear
train_263,agriculture
train_264,clear
train_265,partly_cloudy
train_266,clear
train_267,partly_cloudy
train_268,agriculture
train_269,clear
train_270,agriculture
train_271,clear
train_272,agriculture
train_273,clear
train_274,artisinal_mine
train_275,clear
train_276,partly_cloudy
train_277,clear
train_278,clear
train_279,clear
train_280,partly_cloudy
train_281,clear
train_282,partly_cloudy
train_283,partly_cloudy
train_284,cloudy
train_285,cloudy
train_286,agriculture
train_287,partly_cloudy
train_288,clear
train_289,clear
train_290,clear
train_291,agriculture
train_292,agriculture
train_293,clear
train_294,clear
train_295,clear
train_296,clear
train_297,agriculture
train_298,agriculture
train_299,clear
train_300,clear
train_301,agriculture
train_302,cloudy
train_303,agriculture
train_304,agriculture
train_305,partly_cloudy
train_306,partly_cloudy
train_307,clear
train_308,agriculture
train_309,agriculture
train_310,clear
train_311,agriculture
train_312,partly_cloudy
train_313,clear
train_314,agriculture
train_315,agriculture
train_316,agriculture
train_317,clear
train_318,clear
train_319,bare_ground
train_320,partly_cloudy
train_321,clear
train_322,clear
train_323,partly_cloudy
train_324,agriculture
train_325,haze
train_326,agriculture
train_327,clear
train_328,agriculture
train_329,clear
train_330,agriculture
train_331,partly_cloudy
train_332,haze
train_333,agriculture
train_334,partly_cloudy
train_335,clear
train_336,clear
train_337,cloudy
train_338,agriculture
train_339,clear
train_340,partly_cloudy
train_341,haze
train_342,agriculture
train_343,cloudy
train_344,clear
train_345,agriculture
train_346,clear
train_347,partly_cloudy
train_348,clear
train_349,agriculture
train_350,agriculture
train_351,agriculture
train_352,cloudy
train_353,agriculture
train_354,clear
train_355,clear
train_356,clear
train_357,clear
train_358,agriculture
train_359,agriculture
train_360,haze
train_361,agriculture
train_362,clear
train_363,haze
train_364,clear
train_365,partly_cloudy
train_366,clear
train_367,haze
train_368,clear
train_369,agriculture
train_370,agriculture
train_371,clear
train_372,clear
train_373,clear
train_374,agriculture
train_375,clear
train_376,clear
train_377,partly_cloudy
train_378,clear
train_379,agriculture
train_380,clear
train_381,agriculture
train_382,clear
train_383,clear
train_384,partly_cloudy
train_385,agriculture
train_386,clear
train_387,clear
train_388,agriculture
train_389,agriculture
train_390,agriculture
train_391,agriculture
train_392,agriculture
train_393,agriculture
train_394,blooming
train_395,partly_cloudy
train_396,cloudy
train_397,clear
train_398,clear
train_399,clear
train_400,agriculture
train_401,clear
train_402,partly_cloudy
train_403,agriculture
train_404,clear
train_405,agriculture
train_406,agriculture
train_407,clear
train_408,blooming
train_409,partly_cloudy
train_410,clear
train_411,agriculture
train_412,clear
train_413,cloudy
train_414,haze
train_415,clear
train_416,clear
train_417,haze
train_418,bare_ground
train_419,agriculture
train_420,bare_ground
train_421,agriculture
train_422,clear
train_423,clear
train_424,clear
train_425,clear
train_426,haze
train_427,clear
train_428,clear
train_429,clear
train_430,agriculture
train_431,clear
train_432,haze
train_433,clear
train_434,agriculture
train_435,bare_ground
train_436,clear
train_437,cloudy
train_438,clear
train_439,clear
train_440,partly_cloudy
train_441,agriculture
train_442,agriculture
train_443,clear
train_444,clear
train_445,cultivation
train_446,clear
train_447,clear
train_448,agriculture
train_449,clear
train_450,clear
train_451,bare_ground
train_452,partly_cloudy
train_453,cloudy
train_454,haze
train_455,clear
train_456,agriculture
train_457,clear
train_458,haze
train_459,clear
train_460,haze
train_461,agriculture
train_462,clear
train_463,clear
train_464,agriculture
train_465,clear
train_466,clear
train_467,agriculture
train_468,clear
train_469,clear
train_470,clear
train_471,agriculture
train_472,clear
train_473,clear
train_474,agriculture
train_475,clear
train_476,cloudy
train_477,agriculture
train_478,clear
train_479,clear
train_480,clear
train_481,partly_cloudy
train_482,partly_cloudy
train_483,clear
train_484,clear
train_485,clear
train_486,bare_ground
train_487,clear
train_488,clear
train_489,clear
train_490,clear
train_491,clear
train_492,partly_cloudy
train_493,clear
train_494,clear
train_495,clear
train_496,clear
train_497,clear
train_498,agriculture
train_499,bare_ground
train_500,partly_cloudy
train_501,clear
train_502,clear
train_503,clear
train_504,haze
train_505,partly_cloudy
train_506,partly_cloudy
train_507,agriculture
train_508,clear
train_509,clear
train_510,partly_cloudy
train_511,clear
train_512,agriculture
train_513,clear
train_514,clear
train_515,clear
train_516,agriculture
train_517,partly_cloudy
train_518,agriculture
train_519,blooming
train_520,agriculture
train_521,bare_ground
train_522,agriculture
train_523,agriculture
train_524,agriculture
train_525,agriculture
train_526,partly_cloudy
train_527,agriculture
train_528,clear
train_529,blooming
train_530,clear
train_531,clear
train_532,agriculture
train_533,clear
train_534,cloudy
train_535,blow_down
train_536,clear
train_537,blooming
train_538,clear
train_539,agriculture
train_540,agriculture
train_541,agriculture
train_542,partly_cloudy
train_543,clear
train_544,clear
train_545,clear
train_546,agriculture
train_547,clear
train_548,clear
train_549,clear
train_550,partly_cloudy
train_551,partly_cloudy
train_552,agriculture
train_553,agriculture
train_554,haze
train_555,clear
train_556,clear
train_557,agriculture
train_558,clear
train_559,agriculture
train_560,clear
train_561,clear
train_562,agriculture
train_563,partly_cloudy
train_564,clear
train_565,agriculture
train_566,blooming
train_567,agriculture
train_568,agriculture
train_569,cloudy
train_570,bare_ground
train_571,partly_cloudy
train_572,agriculture
train_573,clear
train_574,agriculture
train_575,clear
train_576,partly_cloudy
train_577,agriculture
train_578,clear
train_579,partly_cloudy
train_580,clear
train_581,haze
train_582,cloudy
train_583,clear
train_584,agriculture
train_585,agriculture
train_586,clear
train_587,clear
train_588,clear
train_589,agriculture
train_590,agriculture
train_591,clear
train_592,clear
train_593,clear
train_594,clear
train_595,clear
train_596,partly_cloudy
train_597,agriculture
train_598,partly_cloudy
train_599,agriculture
train_600,clear
train_601,cloudy
train_602,clear
train_603,clear
train_604,agriculture
train_605,clear
train_606,clear
train_607,agriculture
train_608,agriculture
train_609,bare_ground
train_610,agriculture
train_611,clear
train_612,clear
train_613,agriculture
train_614,partly_cloudy
train_615,clear
train_616,clear
train_617,clear
train_618,clear
train_619,agriculture
train_620,partly_cloudy
train_621,clear
train_622,clear
train_623,agriculture
train_624,clear
train_625,haze
train_626,clear
train_627,clear
train_628,clear
train_629,clear
train_630,clear
train_631,agriculture
train_632,agriculture
train_633,agriculture
train_634,agriculture
train_635,clear
train_636,clear
train_637,clear
train_638,clear
train_639,clear
train_640,clear
train_641,clear
train_642,clear
train_643,clear
train_644,clear
train_645,clear
train_646,cloudy
train_647,partly_cloudy
train_648,partly_cloudy
train_649,agriculture
train_650,cloudy
train_651,agriculture
train_652,clear
train_653,agriculture
train_654,haze
train_655,clear
train_656,agriculture
train_657,agriculture
train_658,clear
train_659,blooming
train_660,clear
train_661,agriculture
train_662,clear
train_663,clear
train_664,clear
train_665,agriculture
train_666,agriculture
train_667,clear
train_668,clear
train_669,agriculture
train_670,agriculture
train_671,clear
train_672,agriculture
train_673,clear
train_674,partly_cloudy
train_675,agriculture
train_676,clear
train_677,agriculture
train_678,agriculture
train_679,clear
train_680,agriculture
train_681,clear
train_682,clear
train_683,agriculture
train_684,partly_cloudy
train_685,clear
train_686,clear
train_687,clear
train_688,agriculture
train_689,clear
train_690,agriculture
train_691,clear
train_692,partly_cloudy
train_693,agriculture
train_694,clear
train_695,clear
train_696,agriculture
train_697,clear
train_698,bare_ground
train_699,agriculture
train_700,clear
train_701,agriculture
train_702,agriculture
train_703,blow_down
train_704,haze
train_705,clear
train_706,partly_cloudy
train_707,partly_cloudy
train_708,clear
train_709,clear
train_710,clear
train_711,cultivation
train_712,blooming
train_713,clear
train_714,clear
train_715,agriculture
train_716,agriculture
train_717,cloudy
train_718,bare_ground
train_719,clear
train_720,agriculture
train_721,agriculture
train_722,agriculture
train_723,clear
train_724,clear
train_725,agriculture
train_726,agriculture
train_727,clear
train_728,agriculture
train_729,clear
train_730,clear
train_731,clear
train_732,clear
train_733,agriculture
train_734,clear
train_735,clear
train_736,agriculture
train_737,clear
train_738,agriculture
train_739,agriculture
train_740,haze
train_741,clear
train_742,clear
train_743,cloudy
train_744,agriculture
train_745,partly_cloudy
train_746,clear
train_747,clear
train_748,clear
train_749,agriculture
train_750,agriculture
train_751,agriculture
train_752,partly_cloudy
train_753,agriculture
train_754,clear
train_755,clear
train_756,agriculture
train_757,partly_cloudy
train_758,cloudy
train_759,partly_cloudy
train_760,clear
train_761,clear
train_762,agriculture
train_763,agriculture
train_764,clear
train_765,habitation
train_766,agriculture
train_767,agriculture
train_768,clear
train_769,agriculture
train_770,agriculture
train_771,clear
train_772,clear
train_773,clear
train_774,partly_cloudy
train_775,haze
train_776,clear
train_777,clear
train_778,clear
train_779,clear
train_780,agriculture
train_781,partly_cloudy
train_782,cloudy
train_783,clear
train_784,clear
train_785,agriculture
train_786,agriculture
train_787,clear
train_788,clear
train_789,clear
train_790,cloudy
train_791,clear
train_792,clear
train_793,agriculture
train_794,habitation
train_795,bare_ground
train_796,partly_cloudy
train_797,partly_cloudy
train_798,partly_cloudy
train_799,cloudy
train_800,agriculture
train_801,clear
train_802,agriculture
train_803,clear
train_804,agriculture
train_805,clear
train_806,clear
train_807,haze
train_808,clear
train_809,agriculture
train_810,clear
train_811,agriculture
train_812,clear
train_813,agriculture
train_814,agriculture
train_815,partly_cloudy
train_816,agriculture
train_817,cloudy
train_818,clear
train_819,partly_cloudy
train_820,agriculture
train_821,clear
train_822,clear
train_823,cloudy
train_824,clear
train_825,bare_ground
train_826,agriculture
train_827,cloudy
train_828,clear
train_829,agriculture
train_830,agriculture
train_831,agriculture
train_832,clear
train_833,clear
train_834,partly_cloudy
train_835,clear
train_836,clear
train_837,clear
train_838,clear
train_839,clear
train_840,partly_cloudy
train_841,agriculture
train_842,partly_cloudy
train_843,agriculture
train_844,partly_cloudy
train_845,clear
train_846,partly_cloudy
train_847,clear
train_848,clear
train_849,habitation
train_850,clear
train_851,agriculture
train_852,clear
train_853,clear
train_854,clear
train_855,clear
train_856,agriculture
train_857,agriculture
train_858,agriculture
train_859,agriculture
train_860,cloudy
train_861,clear
train_862,clear
train_863,clear
train_864,clear
train_865,clear
train_866,agriculture
train_867,agriculture
train_868,clear
train_869,clear
train_870,partly_cloudy
train_871,clear
train_872,agriculture
train_873,partly_cloudy
train_874,partly_cloudy
train_875,agriculture
train_876,agriculture
train_877,clear
train_878,clear
train_879,agriculture
train_880,clear
train_881,partly_cloudy
train_882,agriculture
train_883,agriculture
train_884,partly_cloudy
train_885,cultivation
train_886,clear
train_887,partly_cloudy
train_888,cloudy
train_889,clear
train_890,agriculture
train_891,clear
train_892,clear
train_893,cloudy
train_894,agriculture
train_895,agriculture
train_896,agriculture
train_897,blooming
train_898,clear
train_899,clear
train_900,partly_cloudy
train_901,agriculture
train_902,cloudy
train_903,clear
train_904,partly_cloudy
train_905,clear
train_906,clear
train_907,clear
train_908,clear
train_909,agriculture
train_910,clear
train_911,clear
train_912,partly_cloudy
train_913,clear
train_914,clear
train_915,clear
train_916,agriculture
train_917,clear
train_918,clear
train_919,clear
train_920,haze
train_921,agriculture
train_922,clear
train_923,partly_cloudy
train_924,blow_down
train_925,agriculture
train_926,clear
train_927,clear
train_928,partly_cloudy
train_929,clear
train_930,clear
train_931,agriculture
train_932,agriculture
train_933,clear
train_934,clear
train_935,partly_cloudy
train_936,clear
train_937,clear
train_938,cloudy
train_939,clear
train_940,agriculture
train_941,clear
train_942,partly_cloudy
train_943,clear
train_944,clear
train_945,clear
train_946,clear
train_947,clear
train_948,agriculture
train_949,agriculture
train_950,clear
train_951,cultivation
train_952,partly_cloudy
train_953,agriculture
train_954,partly_cloudy
train_955,clear
train_956,clear
train_957,clear
train_958,agriculture
train_959,agriculture
train_960,agriculture
train_961,partly_cloudy
train_962,clear
train_963,haze
train_964,clear
train_965,haze
train_966,agriculture
train_967,clear
train_968,haze
train_969,partly_cloudy
train_970,cloudy
train_971,clear
train_972,partly_cloudy
train_973,agriculture
train_974,bare_ground
train_975,partly_cloudy
train_976,clear
train_977,agriculture
train_978,clear
train_979,clear
train_980,clear
train_981,clear
train_982,agriculture
train_983,clear
train_984,cloudy
train_985,clear
train_986,agriculture
train_987,agriculture
train_988,agriculture
train_989,haze
train_990,clear
train_991,agriculture
train_992,agriculture
train_993,clear
train_994,artisinal_mine
train_995,clear
train_996,partly_cloudy
train_997,artisinal_mine
train_998,agriculture
train_999,clear
train_1000,partly_cloudy
train_1001,clear
train_1002,clear
train_1003,clear
train_1004,clear
train_1005,clear
train_1006,clear
train_1007,clear
train_1008,clear
train_1009,agriculture
train_1010,clear
train_1011,clear
train_1012,clear
train_1013,partly_cloudy
train_1014,agriculture
train_1015,clear
train_1016,clear
train_1017,clear
train_1018,clear
train_1019,agriculture
train_1020,clear
train_1021,clear
train_1022,haze
train_1023,agriculture
train_1024,clear
train_1025,agriculture
train_1026,clear
train_1027,clear
train_1028,partly_cloudy
train_1029,clear
train_1030,partly_cloudy
train_1031,agriculture
train_1032,agriculture
train_1033,clear
train_1034,agriculture
train_1035,clear
train_1036,partly_cloudy
train_1037,clear
train_1038,agriculture
train_1039,clear
train_1040,clear
train_1041,agriculture
train_1042,clear
train_1043,agriculture
train_1044,clear
train_1045,agriculture
train_1046,agriculture
train_1047,agriculture
train_1048,partly_cloudy
train_1049,clear
train_1050,agriculture
train_1051,clear
train_1052,clear
train_1053,haze
train_1054,agriculture
train_1055,clear
train_1056,clear
train_1057,partly_cloudy
train_1058,partly_cloudy
train_1059,partly_cloudy
train_1060,cloudy
train_1061,agriculture
train_1062,clear
train_1063,agriculture
train_1064,bare_ground
train_1065,partly_cloudy
train_1066,agriculture
train_1067,partly_cloudy
train_1068,clear
train_1069,clear
train_1070,cloudy
train_1071,clear
train_1072,partly_cloudy
train_1073,agriculture
train_1074,clear
train_1075,partly_cloudy
train_1076,agriculture
train_1077,habitation
train_1078,partly_cloudy
train_1079,clear
train_1080,clear
train_1081,partly_cloudy
train_1082,clear
train_1083,clear
train_1084,clear
train_1085,clear
train_1086,cloudy
train_1087,agriculture
train_1088,clear
train_1089,clear
train_1090,agriculture
train_1091,agriculture
train_1092,cloudy
train_1093,agriculture
train_1094,agriculture
train_1095,agriculture
train_1096,clear
train_1097,clear
train_1098,agriculture
train_1099,clear
train_1100,clear
train_1101,clear
train_1102,agriculture
train_1103,partly_cloudy
train_1104,cultivation
train_1105,partly_cloudy
train_1106,agriculture
train_1107,clear
train_1108,agriculture
train_1109,clear
train_1110,partly_cloudy
train_1111,clear
train_1112,agriculture
train_1113,haze
train_1114,clear
train_1115,artisinal_mine
train_1116,agriculture
train_1117,agriculture
train_1118,clear
train_1119,agriculture
train_1120,clear
train_1121,haze
train_1122,agriculture
train_1123,clear
train_1124,clear
train_1125,partly_cloudy
train_1126,cloudy
train_1127,clear
train_1128,agriculture
train_1129,agriculture
train_1130,agriculture
train_1131,partly_cloudy
train_1132,clear
train_1133,clear
train_1134,agriculture
train_1135,clear
train_1136,clear
train_1137,clear
train_1138,agriculture
train_1139,agriculture
train_1140,cloudy
train_1141,clear
train_1142,agriculture
train_1143,clear
train_1144,agriculture
train_1145,clear
train_1146,clear
train_1147,haze
train_1148,clear
train_1149,haze
train_1150,clear
train_1151,agriculture
train_1152,clear
train_1153,haze
train_1154,agriculture
train_1155,clear
train_1156,agriculture
train_1157,clear
train_1158,clear
train_1159,agriculture
train_1160,clear
train_1161,haze
train_1162,partly_cloudy
train_1163,clear
train_1164,clear
train_1165,clear
train_1166,clear
train_1167,agriculture
train_1168,clear
train_1169,clear
train_1170,clear
train_1171,clear
train_1172,clear
train_1173,agriculture
train_1174,clear
train_1175,partly_cloudy
train_1176,agriculture
train_1177,partly_cloudy
train_1178,agriculture
train_1179,partly_cloudy
train_1180,clear
train_1181,clear
train_1182,clear
train_1183,partly_cloudy
train_1184,agriculture
train_1185,clear
train_1186,partly_cloudy
train_1187,clear
train_1188,agriculture
train_1189,clear
train_1190,clear
train_1191,agriculture
train_1192,clear
train_1193,clear
train_1194,cloudy
train_1195,agriculture
train_1196,clear
train_1197,agriculture
train_1198,clear
train_1199,agriculture
train_1200,clear
train_1201,bare_ground
train_1202,partly_cloudy
train_1203,clear
train_1204,bare_ground
train_1205,clear
train_1206,clear
train_1207,agriculture
train_1208,clear
train_1209,clear
train_1210,partly_cloudy
train_1211,bare_ground
train_1212,clear
train_1213,clear
train_1214,clear
train_1215,clear
train_1216,clear
train_1217,agriculture
train_1218,clear
train_1219,partly_cloudy
train_1220,agriculture
train_1221,clear
train_1222,clear
train_1223,bare_ground
train_1224,clear
train_1225,partly_cloudy
train_1226,partly_cloudy
train_1227,clear
train_1228,agriculture
train_1229,agriculture
train_1230,agriculture
train_1231,clear
train_1232,haze
train_1233,agriculture
train_1234,agriculture
train_1235,agriculture
train_1236,haze
train_1237,agriculture
train_1238,agriculture
train_1239,agriculture
train_1240,partly_cloudy
train_1241,agriculture
train_1242,clear
train_1243,clear
train_1244,clear
train_1245,clear
train_1246,clear
train_1247,partly_cloudy
train_1248,clear
train_1249,agriculture
train_1250,partly_cloudy
train_1251,clear
train_1252,agriculture
train_1253,agriculture
train_1254,agriculture
train_1255,clear
train_1256,cloudy
train_1257,clear
train_1258,clear
train_1259,clear
train_1260,clear
train_1261,agriculture
train_1262,agriculture
train_1263,clear
train_1264,partly_cloudy
train_1265,cloudy
train_1266,agriculture
train_1267,clear
train_1268,haze
train_1269,clear
train_1270,clear
train_1271,agriculture
train_1272,agriculture
train_1273,agriculture
train_1274,clear
train_1275,clear
train_1276,clear
train_1277,agriculture
train_1278,agriculture
train_1279,agriculture
train_1280,agriculture
train_1281,clear
train_1282,clear
train_1283,cloudy
train_1284,partly_cloudy
train_1285,clear
train_1286,clear
train_1287,agriculture
train_1288,clear
train_1289,clear
train_1290,clear
train_1291,partly_cloudy
train_1292,clear
train_1293,clear
train_1294,agriculture
train_1295,agriculture
train_1296,clear
train_1297,cloudy
train_1298,agriculture
train_1299,clear
train_1300,partly_cloudy
train_1301,agriculture
train_1302,agriculture
train_1303,clear
train_1304,cloudy
train_1305,agriculture
train_1306,agriculture
train_1307,clear
train_1308,clear
train_1309,agriculture
train_1310,clear
train_1311,agriculture
train_1312,partly_cloudy
train_1313,haze
train_1314,clear
train_1315,haze
train_1316,blooming
train_1317,agriculture
train_1318,partly_cloudy
train_1319,agriculture
train_1320,agriculture
train_1321,haze
train_1322,clear
train_1323,agriculture
train_1324,clear
train_1325,agriculture
train_1326,clear
train_1327,agriculture
train_1328,agriculture
train_1329,clear
train_1330,clear
train_1331,agriculture
train_1332,agriculture
train_1333,agriculture
train_1334,bare_ground
train_1335,partly_cloudy
train_1336,cloudy
train_1337,clear
train_1338,clear
train_1339,cloudy
train_1340,agriculture
train_1341,agriculture
train_1342,clear
train_1343,clear
train_1344,partly_cloudy
train_1345,clear
train_1346,agriculture
train_1347,agriculture
train_1348,agriculture
train_1349,clear
train_1350,partly_cloudy
train_1351,clear
train_1352,clear
train_1353,clear
train_1354,clear
train_1355,clear
train_1356,partly_cloudy
train_1357,partly_cloudy
train_1358,clear
train_1359,agriculture
train_1360,cloudy
train_1361,agriculture
train_1362,clear
train_1363,haze
train_1364,agriculture
train_1365,agriculture
train_1366,agriculture
train_1367,clear
train_1368,partly_cloudy
train_1369,clear
train_1370,partly_cloudy
train_1371,clear
train_1372,clear
train_1373,agriculture
train_1374,cloudy
train_1375,clear
train_1376,agriculture
train_1377,clear
train_1378,cloudy
train_1379,agriculture
train_1380,clear
train_1381,clear
train_1382,partly_cloudy
train_1383,clear
train_1384,agriculture
train_1385,clear
train_1386,clear
train_1387,clear
train_1388,agriculture
train_1389,haze
train_1390,agriculture
train_1391,cloudy
train_1392,clear
train_1393,agriculture
train_1394,clear
train_1395,clear
train_1396,haze
train_1397,clear
train_1398,agriculture
train_1399,clear
train_1400,clear
train_1401,agriculture
train_1402,clear
train_1403,agriculture
train_1404,partly_cloudy
train_1405,clear
train_1406,clear
train_1407,agriculture
train_1408,bare_ground
train_1409,blooming
train_1410,haze
train_1411,bare_ground
train_1412,clear
train_1413,clear
train_1414,clear
train_1415,partly_cloudy
train_1416,clear
train_1417,clear
train_1418,agriculture
train_1419,clear
train_1420,agriculture
train_1421,bare_ground
train_1422,clear
train_1423,agriculture
train_1424,clear
train_1425,clear
train_1426,clear
train_1427,clear
train_1428,clear
train_1429,clear
train_1430,agriculture
train_1431,agriculture
train_1432,clear
train_1433,clear
train_1434,clear
train_1435,clear
train_1436,artisinal_mine
train_1437,clear
train_1438,clear
train_1439,agriculture
train_1440,partly_cloudy
train_1441,agriculture
train_1442,partly_cloudy
train_1443,clear
train_1444,agriculture
train_1445,agriculture
train_1446,agriculture
train_1447,clear
train_1448,clear
train_1449,clear
train_1450,cloudy
train_1451,clear
train_1452,clear
train_1453,agriculture
train_1454,haze
train_1455,agriculture
train_1456,agriculture
train_1457,clear
train_1458,clear
train_1459,clear
train_1460,clear
train_1461,clear
train_1462,clear
train_1463,clear
train_1464,clear
train_1465,agriculture
train_1466,clear
train_1467,clear
train_1468,partly_cloudy
train_1469,partly_cloudy
train_1470,clear
train_1471,haze
train_1472,clear
train_1473,agriculture
train_1474,agriculture
train_1475,partly_cloudy
train_1476,agriculture
train_1477,partly_cloudy
train_1478,clear
train_1479,cloudy
train_1480,clear
train_1481,agriculture
train_1482,agriculture
train_1483,cloudy
train_1484,clear
train_1485,agriculture
train_1486,cloudy
train_1487,clear
train_1488,clear
train_1489,agriculture
train_1490,cloudy
train_1491,clear
train_1492,cloudy
train_1493,clear
train_1494,partly_cloudy
train_1495,clear
train_1496,haze
train_1497,agriculture
train_1498,clear
train_1499,agriculture
train_1500,cloudy
train_1501,agriculture
train_1502,clear
train_1503,clear
train_1504,clear
train_1505,clear
train_1506,clear
train_1507,agriculture
train_1508,clear
train_1509,agriculture
train_1510,partly_cloudy
train_1511,clear
train_1512,partly_cloudy
train_1513,clear
train_1514,clear
train_1515,clear
train_1516,agriculture
train_1517,cultivation
train_1518,clear
train_1519,clear
train_1520,cloudy
train_1521,clear
train_1522,clear
train_1523,partly_cloudy
train_1524,clear
train_1525,agriculture
train_1526,partly_cloudy
train_1527,agriculture
train_1528,clear
train_1529,clear
train_1530,clear
train_1531,clear
train_1532,clear
train_1533,artisinal_mine
train_1534,agriculture
train_1535,clear
train_1536,clear
train_1537,agriculture
train_1538,cloudy
train_1539,clear
train_1540,agriculture
train_1541,clear
train_1542,clear
train_1543,agriculture
train_1544,clear
train_1545,agriculture
train_1546,agriculture
train_1547,clear
train_1548,clear
train_1549,partly_cloudy
train_1550,cloudy
train_1551,cloudy
train_1552,agriculture
train_1553,clear
train_1554,agriculture
train_1555,partly_cloudy
train_1556,clear
train_1557,clear
train_1558,agriculture
train_1559,agriculture
train_1560,clear
train_1561,clear
train_1562,haze
train_1563,agriculture
train_1564,agriculture
train_1565,partly_cloudy
train_1566,agriculture
train_1567,clear
train_1568,clear
train_1569,clear
train_1570,clear
train_1571,haze
train_1572,clear
train_1573,partly_cloudy
train_1574,clear
train_1575,clear
train_1576,clear
train_1577,clear
train_1578,cloudy
train_1579,clear
train_1580,cloudy
train_1581,agriculture
train_1582,clear
train_1583,clear
train_1584,partly_cloudy
train_1585,haze
train_1586,clear
train_1587,agriculture
train_1588,clear
train_1589,blooming
train_1590,clear
train_1591,agriculture
train_1592,cultivation
train_1593,clear
train_1594,agriculture
train_1595,clear
train_1596,haze
train_1597,agriculture
train_1598,cloudy
